"","FIPS","State","County_Name","Population_2010","RUCC_2013","Description","countyfips","state","rucc_short"
"43","08083","CO","Montezuma County",25535,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",83,8,"Rural Adjacent"
"44","08085","CO","Montrose County",41276,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",85,8,"Rural Adjacent"
"45","08087","CO","Morgan County",28159,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",87,8,"Rural Adjacent"
"46","08089","CO","Otero County",18831,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",89,8,"Rural Adjacent"
"47","08091","CO","Ouray County",4436,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",91,8,"Rural Not Adjacent"
"48","08093","CO","Park County",16206,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",93,8,"Metro"
"49","08095","CO","Phillips County",4442,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",95,8,"Rural Not Adjacent"
"50","08097","CO","Pitkin County",17148,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",97,8,"Rural Not Adjacent"
"51","08099","CO","Prowers County",12551,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",99,8,"Rural Not Adjacent"
"52","08101","CO","Pueblo County",159063,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",101,8,"Metro"
"53","08103","CO","Rio Blanco County",6666,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",103,8,"Rural Not Adjacent"
"54","08105","CO","Rio Grande County",11982,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",105,8,"Rural Not Adjacent"
"55","08107","CO","Routt County",23509,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",107,8,"Rural Not Adjacent"
"56","08109","CO","Saguache County",6108,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",109,8,"Rural Not Adjacent"
"57","08111","CO","San Juan County",699,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",111,8,"Rural Not Adjacent"
"58","08113","CO","San Miguel County",7359,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",113,8,"Rural Not Adjacent"
"59","08115","CO","Sedgwick County",2379,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",115,8,"Rural Not Adjacent"
"60","08117","CO","Summit County",27994,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             ",117,8,"Rural Not Adjacent"
"61","08119","CO","Teller County",23350,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",119,8,"Metro"
"62","08121","CO","Washington County",4814,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",121,8,"Rural Not Adjacent"
"63","08123","CO","Weld County",252825,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",123,8,"Metro"
"64","08125","CO","Yuma County",10043,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",125,8,"Rural Not Adjacent"
